name,version,is_deprecated,latest_version
3.13.5,3.13.5,false,3.13.5
3.13.4,3.13.4,false,3.13.5
3.13.3,3.13.3,false,3.13.5
3.13.2,3.13.2,false,3.13.5
3.13.1,3.13.1,false,3.13.5
3.13.0,3.13.0,false,3.13.5
3.12.11,3.12.11,false,3.12.11
3.12.10,3.12.10,false,3.12.11
3.12.9,3.12.9,false,3.12.11
3.12.8,3.12.8,false,3.12.11
3.12.7,3.12.7,false,3.12.11
3.12.6,3.12.6,false,3.12.11
3.12.5,3.12.5,false,3.12.11
3.12.4,3.12.4,false,3.12.11
3.12.3,3.12.3,false,3.12.11
3.12.2,3.12.2,false,3.12.11
3.12.1,3.12.1,false,3.12.11
3.12.0,3.12.0,false,3.12.11
3.11.13,3.11.13,false,3.11.13
3.11.12,3.11.12,false,3.11.13
3.11.11,3.11.11,false,3.11.13
3.11.10,3.11.10,false,3.11.13
3.11.9,3.11.9,false,3.11.13
3.11.8,3.11.8,false,3.11.13
3.11.7,3.11.7,false,3.11.13
3.11.6,3.11.6,false,3.11.13
3.11.5,3.11.5,false,3.11.13
3.11.4,3.11.4,false,3.11.13
3.11.3,3.11.3,false,3.11.13
3.11.1,3.11.1,false,3.11.13
3.10.18,3.10.18,false,3.10.18
3.10.17,3.10.17,false,3.10.18
3.10.16,3.10.16,false,3.10.18
3.10.15,3.10.15,false,3.10.18
3.10.14,3.10.14,false,3.10.18
3.10.13,3.10.13,false,3.10.18
3.10.12,3.10.12,false,3.10.18
3.10.11,3.10.11,false,3.10.18
3.10.9,3.10.9,false,3.10.18
3.10.8,3.10.8,false,3.10.18
3.10.7,3.10.7,false,3.10.18
3.10.6,3.10.6,false,3.10.18
3.10.5,3.10.5,false,3.10.18
3.10.4,3.10.4,false,3.10.18
3.10.3,3.10.3,false,3.10.18
3.10.2,3.10.2,false,3.10.18
3.10.0,3.10.0,false,3.10.18
3.9.23,3.9.23,false,3.9.23
3.9.22,3.9.22,false,3.9.23
3.9.21,3.9.21,false,3.9.23
3.9.20,3.9.20,false,3.9.23
3.9.19,3.9.19,false,3.9.23
3.9.18,3.9.18,false,3.9.23
3.9.17,3.9.17,false,3.9.23
3.9.16,3.9.16,false,3.9.23
3.9.15,3.9.15,false,3.9.23
3.9.14,3.9.14,false,3.9.23
3.9.13,3.9.13,false,3.9.23
3.9.12,3.9.12,false,3.9.23
3.9.11,3.9.11,false,3.9.23
3.9.10,3.9.10,false,3.9.23
3.9.7,3.9.7,false,3.9.23
3.9.6,3.9.6,false,3.9.23
3.9.5,3.9.5,false,3.9.23
3.9.4,3.9.4,false,3.9.23
3.9.3,3.9.3,false,3.9.23
3.9.2,3.9.2,false,3.9.23
3.9.1,3.9.1,false,3.9.23
3.9.0,3.9.0,false,3.9.23
3.8.20,3.8.20,true,3.8.20
3.8.19,3.8.19,true,3.8.20
3.8.18,3.8.18,true,3.8.20
3.8.17,3.8.17,true,3.8.20
3.8.16,3.8.16,true,3.8.20
3.8.15,3.8.15,true,3.8.20
3.8.14,3.8.14,true,3.8.20
3.8.13,3.8.13,true,3.8.20
3.8.12,3.8.12,true,3.8.20
3.8.11,3.8.11,true,3.8.20
3.8.10,3.8.10,true,3.8.20
3.8.9,3.8.9,true,3.8.20
3.8.8,3.8.8,true,3.8.20
3.8.7,3.8.7,true,3.8.20
3.8.6,3.8.6,true,3.8.20
3.8.5,3.8.5,true,3.8.20
3.8.3,3.8.3,true,3.8.20
3.8.2,3.8.2,true,3.8.20
